dataset,mean_diff_vs_human,p,p_adj
gemma,0.3509194800916573,1.6234441698266804e-24,1.6234441698266804e-24
gpt-oss,0.8843805972877137,4.3195508618777495e-98,8.639101723755499e-98
llama,0.8076931451489986,1.6211738627748466e-82,2.161565150366462e-82
qwen,1.3379779425818104,1.3828926919230803e-187,5.531570767692321e-187
