group,question,dataset,value,p,p_adj
open_sentiment_mean_shift,q1,gemma,0.43063751937158357,2.363276621671937e-93,3.1510354955625825e-93
open_sentiment_mean_shift,q2,gemma,-0.28527220157690003,1.8349389136398193e-53,3.6698778272796386e-53
open_sentiment_mean_shift,q1,gpt-oss,0.4342476276748327,1.5596937515359802e-95,6.238775006143921e-95
open_sentiment_mean_shift,q2,gpt-oss,-0.28767894044573283,8.050330342376832e-55,3.220132136950733e-54
open_sentiment_mean_shift,q1,llama,0.4246206721995017,8.106939713908902e-90,8.106939713908902e-90
open_sentiment_mean_shift,q2,llama,-0.14688471661901803,1.496919654031724e-11,1.496919654031724e-11
open_sentiment_mean_shift,q1,qwen,0.4318408888059999,4.484470461150808e-94,8.968940922301616e-94
open_sentiment_mean_shift,q2,qwen,-0.28286546270806734,3.8975311468924226e-52,5.196708195856564e-52
